datetime,date,hour,day_of_week,is_weekend,is_holiday,season,temperature,humidity,load
2022-01-01 00:00:00,2022-01-01,0,5,True,True,winter,5.5,68.0,1288.12
2022-01-01 01:00:00,2022-01-01,1,5,True,True,winter,5.3,55.0,1344.24
2022-01-01 02:00:00,2022-01-01,2,5,True,True,winter,8.3,64.0,1274.01
2022-01-01 03:00:00,2022-01-01,3,5,True,True,winter,6.1,60.0,1318.6
2022-01-01 04:00:00,2022-01-01,4,5,True,True,winter,0.8,69.0,1555.62
2022-01-01 05:00:00,2022-01-01,5,5,True,True,winter,3.5,61.0,1498.06
2022-01-01 06:00:00,2022-01-01,6,5,True,True,winter,1.2,67.0,1712.87
2022-01-01 07:00:00,2022-01-01,7,5,True,True,winter,0.7,58.0,1938.38
2022-01-01 08:00:00,2022-01-01,8,5,True,True,winter,0.5,66.0,2186.86
2022-01-01 09:00:00,2022-01-01,9,5,True,True,winter,3.2,65.0,2013.54
2022-01-01 10:00:00,2022-01-01,10,5,True,True,winter,3.7,49.0,1800.35
2022-01-01 11:00:00,2022-01-01,11,5,True,True,winter,5.4,63.0,1642.23
2022-01-01 12:00:00,2022-01-01,12,5,True,True,winter,0.9,56.0,1721.19
2022-01-01 13:00:00,2022-01-01,13,5,True,True,winter,6.6,61.0,1559.22
2022-01-01 14:00:00,2022-01-01,14,5,True,True,winter,5.5,55.0,1650.28
2022-01-01 15:00:00,2022-01-01,15,5,True,True,winter,6.2,53.0,1670.03
2022-01-01 16:00:00,2022-01-01,16,5,True,True,winter,9.4,58.0,1316.46
2022-01-01 17:00:00,2022-01-01,17,5,True,True,winter,9.0,49.0,1568.16
2022-01-01 18:00:00,2022-01-01,18,5,True,True,winter,12.8,52.0,1670.49
2022-01-01 19:00:00,2022-01-01,19,5,True,True,winter,10.8,50.0,1619.29
2022-01-01 20:00:00,2022-01-01,20,5,True,True,winter,11.2,51.0,1737.33
2022-01-01 21:00:00,2022-01-01,21,5,True,True,winter,13.5,51.0,1602.2
2022-01-01 22:00:00,2022-01-01,22,5,True,True,winter,7.3,51.0,1456.23
2022-01-01 23:00:00,2022-01-01,23,5,True,True,winter,6.3,61.0,1504.27
2022-01-02 00:00:00,2022-01-02,0,6,True,True,winter,8.2,61.0,1281.12
2022-01-02 01:00:00,2022-01-02,1,6,True,True,winter,9.2,58.0,1285.43
2022-01-02 02:00:00,2022-01-02,2,6,True,True,winter,6.1,63.0,1311.74
2022-01-02 03:00:00,2022-01-02,3,6,True,True,winter,5.6,68.0,1289.53
2022-01-02 04:00:00,2022-01-02,4,6,True,True,winter,5.4,62.0,1334.48
2022-01-02 05:00:00,2022-01-02,5,6,True,True,winter,4.4,63.0,1351.32
2022-01-02 06:00:00,2022-01-02,6,6,True,True,winter,3.3,60.0,1375.77
2022-01-02 07:00:00,2022-01-02,7,6,True,True,winter,1.7,64.0,1873.88
2022-01-02 08:00:00,2022-01-02,8,6,True,True,winter,2.2,70.0,1967.71
2022-01-02 09:00:00,2022-01-02,9,6,True,True,winter,4.2,56.0,2013.18
2022-01-02 10:00:00,2022-01-02,10,6,True,True,winter,1.4,70.0,1587.62
2022-01-02 11:00:00,2022-01-02,11,6,True,True,winter,1.4,69.0,1767.78
2022-01-02 12:00:00,2022-01-02,12,6,True,True,winter,3.6,56.0,1779.58
2022-01-02 13:00:00,2022-01-02,13,6,True,True,winter,5.5,59.0,1517.17
2022-01-02 14:00:00,2022-01-02,14,6,True,True,winter,7.3,60.0,1504.6
2022-01-02 15:00:00,2022-01-02,15,6,True,True,winter,8.3,59.0,1536.04
2022-01-02 16:00:00,2022-01-02,16,6,True,True,winter,12.9,49.0,1397.25
2022-01-02 17:00:00,2022-01-02,17,6,True,True,winter,9.7,60.0,1863.18
2022-01-02 18:00:00,2022-01-02,18,6,True,True,winter,10.6,55.0,1588.87
2022-01-02 19:00:00,2022-01-02,19,6,True,True,winter,13.6,59.0,1631.69
2022-01-02 20:00:00,2022-01-02,20,6,True,True,winter,9.9,42.0,1640.95
2022-01-02 21:00:00,2022-01-02,21,6,True,True,winter,13.5,54.0,1503.21
2022-01-02 22:00:00,2022-01-02,22,6,True,True,winter,8.6,55.0,1421.81
2022-01-02 23:00:00,2022-01-02,23,6,True,True,winter,10.6,60.0,1237.23
2022-01-03 00:00:00,2022-01-03,0,0,False,False,winter,12.1,58.0,1370.17
2022-01-03 01:00:00,2022-01-03,1,0,False,False,winter,11.6,54.0,1454.58
2022-01-03 02:00:00,2022-01-03,2,0,False,False,winter,7.4,48.0,1598.07
2022-01-03 03:00:00,2022-01-03,3,0,False,False,winter,3.3,72.0,1612.88
2022-01-03 04:00:00,2022-01-03,4,0,False,False,winter,1.3,67.0,2042.91
2022-01-03 05:00:00,2022-01-03,5,0,False,False,winter,6.4,53.0,1771.34
2022-01-03 06:00:00,2022-01-03,6,0,False,False,winter,1.4,68.0,1902.09
2022-01-03 07:00:00,2022-01-03,7,0,False,False,winter,2.3,54.0,2429.24
2022-01-03 08:00:00,2022-01-03,8,0,False,False,winter,1.1,66.0,2546.98
2022-01-03 09:00:00,2022-01-03,9,0,False,False,winter,5.3,59.0,2284.45
2022-01-03 10:00:00,2022-01-03,10,0,False,False,winter,5.3,64.0,2219.7
2022-01-03 11:00:00,2022-01-03,11,0,False,False,winter,3.0,64.0,2164.18
2022-01-03 12:00:00,2022-01-03,12,0,False,False,winter,3.3,56.0,2123.7
2022-01-03 13:00:00,2022-01-03,13,0,False,False,winter,4.7,65.0,1852.3
2022-01-03 14:00:00,2022-01-03,14,0,False,False,winter,5.4,49.0,2134.03
2022-01-03 15:00:00,2022-01-03,15,0,False,False,winter,8.9,65.0,1834.47
